"REF_DATE","GEO","DGUID","Level of study","Type of debt source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88834935","1.4.1.3","23900","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834936","1.4.1.4","27","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834937","1.4.1.5","20600","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834938","1.4.2.1","38","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834939","1.4.2.2","27","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88834940","1.4.2.3","18900","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834941","1.4.2.4","28","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834942","1.4.2.5","16400","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834943","1.4.3.1","19","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834944","1.4.3.2","25","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88834945","1.4.3.3","19300","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834946","1.4.3.4","34","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834947","1.4.3.5","17900","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834948","2.1.1.1","59","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834949","2.1.1.2","18","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88834950","2.1.1.3","15400","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834951","2.1.1.4","8","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834952","2.1.1.5","13900","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834953","2.1.2.1","54","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834954","2.1.2.2","17","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88834955","2.1.2.3","15200","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834956","2.1.2.4","7","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834957","2.1.2.5","13900","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834958","2.1.3.1","12","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834959","2.1.3.2","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88834960","2.1.3.3","7300","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834961","2.1.3.4","28","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834962","2.1.3.5","7000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834963","2.2.1.1","78","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834964","2.2.1.2","62","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88834965","2.2.1.3","31100","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834966","2.2.1.4","9","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834967","2.2.1.5","26800","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834968","2.2.2.1","75","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834969","2.2.2.2","63","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88834970","2.2.2.3","28500","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834971","2.2.2.4","10","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834972","2.2.2.5","24300","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834973","2.2.3.1","23","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834974","2.2.3.2","11","E","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88834975","2.2.3.3","13200","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834976","2.2.3.4","32","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834977","2.2.3.5","17100","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834978","2.3.1.1","42","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834979","2.3.1.2","27","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88834980","2.3.1.3","19400","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834981","2.3.1.4","25","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834982","2.3.1.5","18000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834983","2.3.2.1","33","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834984","2.3.2.2","28","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88834985","2.3.2.3","20300","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834986","2.3.2.4","20","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834987","2.3.2.5","19200","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834988","2.3.3.1","16","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834989","2.3.3.2","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88834990","2.3.3.3","9400","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834991","2.3.3.4","34","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834992","2.3.3.5","7000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834993","2.4.1.1","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834994","2.4.1.2","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88834995","2.4.1.3","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834996","2.4.1.4","","..","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834997","2.4.1.5","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834998","2.4.2.1","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834999","2.4.2.2","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88835000","2.4.2.3","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835001","2.4.2.4","","..","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835002","2.4.2.5","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835003","2.4.3.1","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835004","2.4.3.2","","..","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88835005","2.4.3.3","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835006","2.4.3.4","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835007","2.4.3.5","","..","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835008","3.1.1.1","68","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835009","3.1.1.2","14","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88835010","3.1.1.3","13400","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835011","3.1.1.4","13","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835012","3.1.1.5","11600","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835013","3.1.2.1","54","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835014","3.1.2.2","9","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88835015","3.1.2.3","12700","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835016","3.1.2.4","10","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835017","3.1.2.5","11200","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835018","3.1.3.1","30","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835019","3.1.3.2","","x","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88835020","3.1.3.3","7600","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835021","3.1.3.4","35","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835022","3.1.3.5","7500","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835023","3.2.1.1","65","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835024","3.2.1.2","32","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88835025","3.2.1.3","21200","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835026","3.2.1.4","17","E","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835027","3.2.1.5","17500","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835028","3.2.2.1","54","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835029","3.2.2.2","33","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88835030","3.2.2.3","19800","","","","0"
